                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89847,                 2.3432,                 1.1788,                0.81775,                0.91742,                0.94818,                0.77089,                0.76409,                 3.0479,                 1.0187,                0.00024,                0.00024,                0.00024
                      2,                0.76642,                 0.8364,                 1.0485,                0.77794,                0.87323,                0.94304,                0.66923,                0.98389,                 2.3696,                 1.3954,              0.0004803,              0.0004803,              0.0004803
                      3,                0.80203,                0.76788,                 1.0742,                0.72308,                0.82872,                 0.8532,                0.61617,                 1.0332,                 1.8198,                 1.4467,              0.0007107,              0.0007107,              0.0007107
                      4,                0.80199,                0.74454,                 1.0727,                0.65202,                0.85345,                0.90353,                0.59354,                 1.1138,                 3.7431,                 1.5879,             0.00093119,             0.00093119,             0.00093119
                      5,                0.78298,                 0.6567,                 1.0617,                0.97852,                0.94211,                0.98965,                0.77224,                0.85297,                0.94626,                 1.2805,              0.0009208,              0.0009208,              0.0009208
                      6,                0.80959,                0.62636,                 1.0727,                0.76692,                  0.959,                0.96212,                0.71568,                0.96709,                 1.3336,                 1.4043,              0.0009208,              0.0009208,              0.0009208
                      7,                0.79329,                0.61049,                 1.0779,                0.81358,                0.94938,                0.97741,                0.73054,                0.92971,                  1.048,                 1.2147,               0.000901,               0.000901,               0.000901
                      8,                0.76027,                0.57581,                 1.0659,                0.91945,                0.96392,                 0.9842,                 0.7241,                0.86081,                0.84498,                 1.1598,              0.0008812,              0.0008812,              0.0008812
                      9,                0.74809,                0.57081,                 1.0489,                0.78556,                0.89188,                0.83046,                0.63221,                0.90281,                 1.0312,                  1.191,              0.0008614,              0.0008614,              0.0008614
                     10,                0.72485,                0.54754,                 1.0367,                0.85872,                0.95262,                0.96939,                 0.7427,                0.90634,                 1.1511,                 1.2358,              0.0008416,              0.0008416,              0.0008416
                     11,                0.70905,                0.52861,                 1.0245,                0.90163,                0.97978,                0.99427,                0.79274,                0.77873,                0.80133,                 1.1153,              0.0008218,              0.0008218,              0.0008218
                     12,                0.72538,                0.54388,                 1.0228,                0.94552,                      1,                 0.9933,                0.81608,                0.77975,                0.54723,                 1.1432,               0.000802,               0.000802,               0.000802
                     13,                0.70391,                0.49429,                 1.0168,                0.99346,                      1,                  0.995,                0.79387,                 0.7614,                0.48996,                 1.1175,              0.0007822,              0.0007822,              0.0007822
                     14,                 0.7101,                 0.5063,                 1.0276,                0.98929,                      1,                  0.995,                0.81304,                 0.7207,                0.44327,                 1.0552,              0.0007624,              0.0007624,              0.0007624
                     15,                 0.6777,                0.47638,                 1.0134,                0.97997,                      1,                  0.995,                0.81151,                0.76668,                0.41981,                 1.1095,              0.0007426,              0.0007426,              0.0007426
                     16,                0.66473,                0.45671,                0.99651,                0.97452,                      1,                  0.995,                0.80707,                0.76046,                0.43498,                 1.0756,              0.0007228,              0.0007228,              0.0007228
                     17,                0.64674,                0.45655,                0.99808,                0.98064,                0.99801,                  0.995,                0.83483,                0.72423,                0.39961,                 1.0599,               0.000703,               0.000703,               0.000703
                     18,                0.64061,                0.44427,                0.98479,                0.97556,                      1,                 0.9905,                0.81339,                0.70858,                0.41623,                 1.0545,              0.0006832,              0.0006832,              0.0006832
                     19,                0.64958,                0.44297,                0.98775,                0.99065,                0.99322,                  0.995,                0.82258,                0.72237,                0.40061,                  1.051,              0.0006634,              0.0006634,              0.0006634
                     20,                0.65398,                0.43782,                0.99002,                0.99262,                      1,                  0.995,                0.83034,                0.73211,                0.37011,                 1.0434,              0.0006436,              0.0006436,              0.0006436
                     21,                0.64175,                0.44324,                 1.0088,                0.99205,                      1,                  0.995,                0.83072,                0.68988,                0.37416,                 1.0313,              0.0006238,              0.0006238,              0.0006238
                     22,                0.63411,                 0.4293,                0.98736,                0.99419,                      1,                  0.995,                0.85079,                0.64192,                0.34573,                0.98123,               0.000604,               0.000604,               0.000604
                     23,                0.63983,                0.41811,                 1.0092,                0.99207,                      1,                  0.995,                0.84257,                0.65985,                 0.3508,                 1.0051,              0.0005842,              0.0005842,              0.0005842
                     24,                0.61861,                 0.4301,                0.97876,                0.98405,                      1,                  0.995,                0.85568,                0.63756,                 0.3602,                0.97876,              0.0005644,              0.0005644,              0.0005644
                     25,                0.61664,                0.41282,                0.98015,                0.99329,                      1,                  0.995,                0.83927,                0.67792,                0.36844,                 1.0315,              0.0005446,              0.0005446,              0.0005446
                     26,                0.59979,                0.42908,                0.97071,                0.99358,                      1,                  0.995,                0.83559,                0.70728,                0.37457,                  1.037,              0.0005248,              0.0005248,              0.0005248
                     27,                0.59394,                0.40426,                0.94628,                0.99077,                      1,                  0.995,                0.86067,                 0.6338,                 0.3256,                0.97878,               0.000505,               0.000505,               0.000505
                     28,                0.60419,                0.40655,                0.96921,                0.99221,                      1,                  0.995,                0.84848,                0.64781,                0.32606,                 1.0034,              0.0004852,              0.0004852,              0.0004852
                     29,                0.57831,                0.37911,                0.96203,                0.99261,                      1,                  0.995,                0.84838,                0.63308,                0.32934,                0.98937,              0.0004654,              0.0004654,              0.0004654
                     30,                0.59472,                0.36963,                0.95947,                0.99289,                      1,                  0.995,                0.86061,                0.62042,                0.32342,                0.98044,              0.0004456,              0.0004456,              0.0004456
                     31,                0.56937,                0.38132,                0.95539,                0.99433,                      1,                  0.995,                0.84875,                0.68306,                 0.3282,                 1.0242,              0.0004258,              0.0004258,              0.0004258
                     32,                0.59001,                0.37697,                0.97122,                 0.9947,                      1,                  0.995,                0.86661,                0.61571,                0.32169,                0.96902,               0.000406,               0.000406,               0.000406
                     33,                0.57025,                0.37461,                0.96222,                0.99302,                      1,                  0.995,                0.84586,                0.65409,                0.31258,                0.99141,              0.0003862,              0.0003862,              0.0003862
                     34,                0.55867,                0.33767,                0.93956,                0.99363,                      1,                  0.995,                0.85771,                0.62726,                0.30367,                0.97775,              0.0003664,              0.0003664,              0.0003664
                     35,                0.56674,                0.35346,                0.95345,                0.99318,                      1,                  0.995,                0.86611,                0.61136,                0.28986,                0.97258,              0.0003466,              0.0003466,              0.0003466
                     36,                0.55378,                0.35769,                0.95872,                0.99272,                0.99746,                  0.995,                 0.8691,                0.59115,                0.28882,                0.97147,              0.0003268,              0.0003268,              0.0003268
                     37,                0.55146,                0.36763,                 0.9661,                0.98974,                0.99735,                  0.995,                0.87295,                0.58191,                0.28922,                0.95774,               0.000307,               0.000307,               0.000307
                     38,                0.53768,                0.33184,                0.93752,                0.99376,                      1,                  0.995,                0.86986,                0.65457,                0.29534,                 1.0133,              0.0002872,              0.0002872,              0.0002872
                     39,                0.53371,                0.33231,                0.93865,                0.99415,                      1,                  0.995,                0.86121,                0.62492,                0.29256,                0.98876,              0.0002674,              0.0002674,              0.0002674
                     40,                0.53932,                 0.3341,                0.94548,                0.99483,                      1,                  0.995,                0.85801,                0.58924,                0.28384,                0.95516,              0.0002476,              0.0002476,              0.0002476
                     41,                0.54244,                0.33189,                0.92206,                 0.9948,                      1,                  0.995,                0.87451,                0.59436,                0.28775,                0.95546,              0.0002278,              0.0002278,              0.0002278
                     42,                0.52906,                0.31434,                0.93058,                0.99337,                      1,                  0.995,                0.86678,                0.60832,                0.28809,                0.96468,               0.000208,               0.000208,               0.000208
                     43,                0.53416,                0.31726,                0.93656,                0.99379,                      1,                  0.995,                0.86652,                0.58953,                0.29007,                0.95511,              0.0001882,              0.0001882,              0.0001882
                     44,                0.53139,                0.31581,                0.92449,                0.99306,                      1,                  0.995,                0.86235,                 0.6005,                0.28877,                0.97052,              0.0001684,              0.0001684,              0.0001684
                     45,                0.52372,                0.30828,                0.91815,                0.99407,                      1,                  0.995,                0.87481,                0.58176,                0.28558,                0.96425,              0.0001486,              0.0001486,              0.0001486
                     46,                0.52174,                0.30533,                0.93102,                0.99447,                      1,                  0.995,                0.87255,                0.57423,                0.28605,                0.95256,              0.0001288,              0.0001288,              0.0001288
                     47,                0.50739,                0.30156,                0.92111,                0.99418,                      1,                  0.995,                0.87764,                0.59181,                0.27974,                0.96032,               0.000109,               0.000109,               0.000109
                     48,                0.51505,                0.30016,                0.91409,                0.99443,                      1,                  0.995,                0.88131,                0.56697,                0.27175,                0.93609,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                0.49977,                0.29411,                0.91835,                0.99415,                      1,                  0.995,                0.88665,                 0.5571,                0.25773,                0.93241,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.49222,                0.28693,                0.90894,                 0.9943,                      1,                  0.995,                0.88597,                0.54455,                0.25328,                0.92212,               4.96e-05,               4.96e-05,               4.96e-05
